教授姓名,课题组名称,所在单位,国家/地区,实验室主页,研究关键词,主要研究方向,代表性成果,代表性论文/平台/数据库/软件,使用的 AI 方法,是否涉及 polymer informatics,是否涉及 self-driving lab,是否涉及 generative design,是否涉及 machine learning potentials,是否涉及 soft actuators / soft robotics,与 LCE 的相关性,与智能高分子材料的相关性,与柔性执行器的相关性,推荐关注等级,为什么值得关注,可靠来源链接
Rampi Ramprasad,Ramprasad Group / Polymer Genome,Georgia Institute of Technology,美国,https://ramprasad.mse.gatech.edu/,Polymer Genome; polymer informatics; polyBERT; graph neural networks; polymer dielectric; materials AI,以机器学习、量子计算和高通量数据建立聚合物结构—性能模型，发展 Polymer Genome 与 Matmerize 平台，面向介电、力学、热、光电和可持续聚合物进行逆向设计。,Polymer Genome 平台、polyBERT 聚合物语言模型、多任务 GNN、AI 设计可合成/可回收/耐久聚合物与高能量密度介电聚合物。,Polymer Genome; polyBERT; Polymer informatics with multi-task learning; Polymer informatics at-scale with multitask graph neural networks; Informatics framework for sustainable polymers,分子/聚合物指纹、图神经网络、多任务学习、语言模型、贝叶斯/主动筛选、可合成性约束逆向设计,是,否/以计算平台为主,是,有限,间接,中高：可直接借鉴 LCE 单体、液晶基元、交联密度、Tni/Tg、驱动应变等数据库和结构—性能预测框架。,高,中：材料端强，器件端需结合软机器人/机器视觉。,必须重点学习,这是聚合物信息学最接近“AI 辅助 LCE 配方设计”的国际标杆，可学习数据库、描述符、模型验证和产业化路径。,https://ramprasad.mse.gatech.edu/ ; https://www.nature.com/articles/s41578-021-00383-3 ; https://arxiv.org/abs/2209.13557 ; https://arxiv.org/abs/2303.12938 ; https://arxiv.org/abs/2409.15354
Yuuya Nagata,Autonomous Polymer Design and Discovery Group,National Institute for Materials Science (NIMS),日本,https://www.nims.go.jp/group/autonomous/index_en.html,autonomous polymer discovery; synthesis robot; NIMO; Bayesian optimization; polymer chemistry,建设集成合成机器人、机器学习和信息科学的自主高分子设计、合成与评价系统。,NIMS 新建自主高分子创成团队，引入 Chemspeed 自动合成机器人，并计划与 Bayesian optimization program NIMO 联动。,Autonomous Polymer Design and Discovery Group; NIMS SAMURAI profile; NIMO Bayesian optimization program（平台信息）,贝叶斯优化、实验自动化、机器人合成、数据回流、信息化学,是,是,部分,否,间接,高：对象就是高分子，流程可迁移到 LCE 交联网络/制膜条件探索。,高,中高：若加入机器视觉表征即可转为执行器闭环优化。,必须重点学习,比无机自驱动实验室更贴近“聚合物合成—表征—优化”，是 LCE 小型闭环平台的重要参考。,https://www.nims.go.jp/group/autonomous/index_en.html ; https://samurai.nims.go.jp/profiles/nagata_yuuya?locale=en ; https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=201401033751489408
Andrew Ferguson,Ferguson Lab,University of Chicago,美国,https://www.ferglab.com/,soft materials; molecular simulation; machine learning; statistical thermodynamics; enhanced sampling,用统计热力学、分子模拟、高性能计算和机器学习理解并工程化分子与软材料，强调自组装、生物/仿生软材料和增强采样。,机器学习集体变量发现、增强采样、软/生物材料数据驱动设计综述。,Data-Driven Design and Autonomous Experimentation in Soft and Biological Materials Engineering; Machine learning for collective variable discovery and enhanced sampling,深度学习/流形学习、增强采样、自由能估计、主动/自动实验综述方法,部分,方法综述/非主线,有限,间接,是,中：更偏计算软物质，可迁移到液晶相变、网络构象和驱动自由能景观。,中高,中：偏材料机理而非器件。,高度相关,适合为 LCE 多尺度模拟、少数据学习和机理解释提供计算理论支撑。,https://www.ferglab.com/ ; https://chemistry.uchicago.edu/andrew-ferguson ; https://pubmed.ncbi.nlm.nih.gov/35236085/
Juan de Pablo,de Pablo Group / UChicago PME,University of Chicago,美国,https://pme.uchicago.edu/faculty/juan-de-pablo,polymers; liquid crystals; molecular simulation; complex materials; soft matter,聚合物、液晶和复杂软材料的分子模拟、理论与工程设计，关注液晶界面、取向、有序结构和复杂材料。,液晶界面微观结构、可自主运动液晶/活性液晶系统、聚合物物理和软物质模拟。,Research reveals inner workings of liquid crystals; Controlling chaos in liquid crystals; polymer physics/simulation publications,分子模拟、统计力学、部分机器学习/计算材料方法,是,否,有限,间接,是,高：液晶和聚合物直接相关，是 LCE 取向、界面和相变机理的核心对标。,高,中高：液晶驱动和活性行为对 LCE 执行器有机理启发。,必须重点学习,在“液晶+聚合物+软物质模拟”上与 LCE 最近，虽不是典型 AI 组，但对机制建模不可替代。,https://pme.uchicago.edu/faculty/juan-de-pablo ; https://news.uchicago.edu/story/research-reveals-inner-workings-liquid-crystals ; https://pme.uchicago.edu/news/controlling-chaos-liquid-crystals-gaining-precision-autonomous-technologies
Alán Aspuru-Guzik,Matter Lab / Acceleration Consortium,University of Toronto,加拿大,https://www.matter.toronto.edu/,self-driving laboratory; AI chemistry; robotics; molecular materials; Acceleration Consortium,以 AI、量子化学、机器人和自驱动实验室加速分子与材料发现，牵头 Acceleration Consortium。,自驱动实验室概念和生态建设、化学/材料自动化平台、视觉感知机器人、AI 分子发现。,Self-driving Lab subgroup; Acceleration Consortium; k-agents for self-driving laboratories,贝叶斯优化、主动学习、强化学习、自动化表征、计算机视觉、代理系统,部分,是,是,部分,间接,中：平台范式强，但对象多为分子/功能材料；需要把 make-test-analyze 改成 LCE 制膜/取向/驱动表征。,中高,中,必须重点学习,自驱动实验室国际影响力最高之一，适合作为闭环平台、组织模式和国际合作的标杆。,https://www.matter.toronto.edu/basic-content-page/self-driving-lab ; https://acceleration.utoronto.ca/ ; https://www.chemistry.utoronto.ca/news/media-u-t%E2%80%99s-acceleration-consortium-changing-way-do-scienceprofessor-al%C3%A1n-aspuru-guzik
Milad Abolhasani,Abolhasani Research Group / Self-Driving Fluidic Lab,North Carolina State University,美国,https://www.abolhasanilab.com/,self-driving fluidic lab; microfluidics; flow chemistry; closed-loop optimization; AlphaFlow,发展流体微处理器、自驱动实验室、连续流合成和在线表征，用 AI 进行闭环材料优化。,自驱动流体实验室、钙钛矿纳米晶自主掺杂、AlphaFlow、SDL 综述和 ARPA-E human-AI-robot 平台。,Autonomous Nanocrystal Doping by Self-Driving Fluidic Micro-Processors; AlphaFlow; Self-driving labs interview/reviews,闭环贝叶斯优化、强化学习、代理模型、在线传感、高通量流动实验,间接,是,有限,否,间接,中高：微流控/流动配方、在线表征和闭环优化可迁移到 LCE 配方、涂布、光固化和薄膜制备。,中高,中高：平台理念可迁移到执行器制备—视频表征闭环。,必须重点学习,非常适合学习“低成本模块化闭环实验平台”的工程架构。,https://www.abolhasanilab.com/ ; https://news.ncsu.edu/2022/03/self-driving-lab/ ; https://cbe.ncsu.edu/accelerating-discovery-2/ ; https://engr.ncsu.edu/news/2026/04/20/nc-state-receives-funding-to-advance-self-driving-laboratory-research/
Nick Warren,Warren Group / Polymer Self-driving Lab,University of Sheffield,英国,https://www.sheffield.ac.uk/cmbe/people/academic-staff/nick-warren,AI-powered polymer synthesis; emulsion polymerization; self-driving laboratory; sustainable polymers,聚合物合成、胶体/乳液聚合、自动化反应平台和机器学习驱动聚合物优化。,闭环自优化乳液聚合平台，自动反应、产品分析并用机器学习调整条件；用于绿色聚合物和 PFPA 功能聚合物构筑单元。,Self-driving labs: making chemical research faster and smarter; closed-loop self-optimization of emulsion polymers; PFPA autonomous synthesis,机器学习优化、多目标优化、自动化反应、在线/离线分析,是,是,有限,否,间接,高：聚合物自动化合成对象与 LCE 材料端高度接近。,高,中高：可迁移到执行器材料配方窗口探索。,必须重点学习,在“自驱动实验室 + 聚合物合成”交叉点上特别相关，优先级高于许多无机材料 SDL。,https://www.sheffield.ac.uk/cmbe/news/self-driving-labs-making-chemical-research-faster-and-smarter ; https://www.sheffield.ac.uk/cmbe/people/academic-staff/nick-warren ; https://phys.org/news/2025-05-labs-enable-faster-smarter-polymer.pdf
Shijing Sun,Sun Group / Autonomous Materials Discovery,University of Cambridge,英国,https://www.msm.cam.ac.uk/people/sun,autonomous materials discovery; materials acceleration platforms; high-throughput experiments; ML-guided diagnosis,机器学习、高通量实验和自驱动平台用于能源/功能材料发现，关注材料加速平台的实用化和社区最佳实践。,高通量光伏材料开发与机器学习诊断，自主实验室社区综述，MAP-E 等材料加速平台。,Accelerating Photovoltaic Materials Development via High-Throughput Experiments and ML-assisted Diagnosis; Autonomous laboratories survey; MAP-E,主动学习、贝叶斯优化、高通量数据诊断、自动化平台、数字孪生,否/较少,是,有限,否,较少,中：对象偏能源材料，但平台规划、实验设计和评价指标可借鉴。,中,中,方法值得借鉴,适合学习 MAP/SDL 的组织、指标和社区实践；对象需大幅软材料化。,https://www.msm.cam.ac.uk/people/sun ; https://arxiv.org/abs/1812.01025 ; https://www.cambridge.org/engage/api-gateway/coe/assets/orp/resource/item/65e0ce79e9ebbb4db993d6fe/original/autonomous-laboratories-for-accelerated-materials-discovery-a-community-survey-and-practical-insights.pdf
Rafael Gómez-Bombarelli,Learning Matter Lab,Massachusetts Institute of Technology,美国,https://gomezbombarelli.mit.edu/,generative models; inverse design; organic materials; polymers; molecular simulation,融合数据科学、工程、DFT/MD 等物理模拟和机器学习，在复杂组合空间中设计有机电子、储能聚合物/分子和催化材料。,VAE/生成模型分子设计、分子材料逆向设计、聚合物和有机功能材料筛选。,Automatic chemical design using a data-driven continuous representation of molecules; Learning Matter research; generative/inverse design materials,VAE、生成模型、图模型、主动学习、物理模拟+ML、逆向设计,部分/是,部分,是,部分,间接,中高：适合迁移到液晶单体、交联剂、光响应基元和可聚合介晶的生成式设计。,高,中：材料分子端强，器件端需另建。,高度相关,能帮助把 LCE 从“经验配方”推进到“目标性能驱动的分子/单体生成”。,https://gomezbombarelli.mit.edu/ ; https://mrl.mit.edu/node/337 ; https://ilp.mit.edu/read/G%C3%B3mez-Bombarelli
Markus J. Buehler,Laboratory for Atomistic and Molecular Mechanics,Massachusetts Institute of Technology,美国,https://web.mit.edu/mbuehler/www/research/,generative AI; bioinspired materials; multiscale mechanics; graph reasoning; 3D structures,多尺度材料力学、仿生材料、生成式 AI、知识图谱和结构设计，连接分子、材料层级结构与力学性能。,基于语言/图/扩散模型的 3D 仿生结构生成，图推理促进材料创新，多尺度材料设计课程与框架。,Generating 3D architectured nature-inspired materials using diffusion models; graph-based AI model maps the future of innovation; Bioinspired123D,生成式 AI、知识图谱、多模态 LLM、扩散模型、图神经/图推理、多尺度模拟,部分,否,是,部分,间接/仿生结构强,中：不是 LCE 专家，但可借鉴可编程取向图案、三维结构和仿生执行器几何生成。,中高,中高：结构设计与可编程形变高度相关。,高度相关,适合作为“AI + 仿生结构 + 多尺度力学”的方法标杆，不宜照搬其宏大生成式叙事。,https://web.mit.edu/mbuehler/www/research/ ; https://news.mit.edu/2024/graph-based-ai-model-maps-future-innovation-1112 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC9767007/
